Gender,Age Range,Impressions,Percent of known total
Male,18-24,"871,909",4.21%
Male,25-34,"3,178,277",15.34%
Male,35-44,"2,814,755",13.59%
Male,45-54,"1,402,381",6.77%
Male,55-64,"361,255",1.74%
Male,65+,"124,421",0.60%
Female,18-24,"1,726,724",8.33%
Female,25-34,"4,768,559",23.02%
Female,35-44,"3,205,364",15.47%
Female,45-54,"1,647,800",7.95%
Female,55-64,"449,126",2.17%
Female,65+,"167,896",0.81%
