Device,Cost,Clicks,Conversions
Computers,"TRY1,313,077.20","1,348,180","36,499.37"
Mobile phones,"TRY5,298,620.71","6,173,249","155,536.66"
Tablets,"TRY18,066.92","24,194",421.88
TV screens,TRY458.31,4,0.99
