Campaign Name,Campaign Group Name,Campaign Status,Cost,Conversions,Cost / conv.
PMax Grupanya Brand,,Enabled,"TRY1,416,679.70","30,506.84",TRY46.44
Hype / Grupanya / Brand / Pure Brand / Broad Match,,Enabled,"TRY1,086,868.16","89,585.79",TRY12.13
Hype / Grupanya / Search / DSA - 2,,Enabled,"TRY955,060.49","18,753.92",TRY50.93
Hype / Grupanya / Jenerik / Search / Güzellik / İstanbul,,Enabled,"TRY617,299.98","6,400.89",TRY96.44
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul,,Enabled,"TRY460,586.48","6,522.10",TRY70.62
Hype / Grupanya / Brand + Kategori/ Broad match #2,,Enabled,"TRY434,496.25","10,040.50",TRY43.27
Istanbul - Rakipler L3,,Paused,"TRY347,675.03","3,591.61",TRY96.80
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul #2,,Enabled,"TRY207,047.55","1,297.34",TRY159.59
Grupanya / Search / Custom Campaigns,,Enabled,"TRY142,115.59","4,500.01",TRY31.58
Hype / Grupanya / Jenerik / Search / Güzellik /Ankara,,Paused,"TRY117,779.25",847.35,TRY139.00
İzmir - Rakipler L3,,Enabled,"TRY91,916.18","1,830.95",TRY50.20
Hype / Grupanya / Jenerik / Search / Yemek / İstanbul,,Enabled,"TRY87,696.21",603.57,TRY145.30
Hype / Grupanya / Search / DSA,,Paused,"TRY75,627.44","7,768.70",TRY9.73
,GRP3 Campaigns,,"TRY73,982.19",918.47,TRY80.55
Izmir-GRP3,,Paused,"TRY69,178.36",857.38,TRY80.69
Hype / Grupanya / Brand + Kategori/ Broad match #3,,Paused,"TRY66,573.36","1,071.57",TRY62.13
Hype_Grupanya_İstanbul_İftar,,Paused,"TRY59,902.51",962.08,TRY62.26
Ankara - Rakipler L3,,Enabled,"TRY51,799.36",627.45,TRY82.56
Hype / Grupanya / Jenerik / Search / Güzellik / İzmir,,Enabled,"TRY51,557.83",893.30,TRY57.72
PMax / Masaj / Istanbul,,Enabled,"TRY50,365.41",595.14,TRY84.63
Antalya - Rakipler L3,,Enabled,"TRY38,746.36",405.99,TRY95.44
Jenerik / Search / Güzellik / İzmir,,Paused,"TRY28,562.86",536.90,TRY53.20
Bursa - Rakipler L3,,Enabled,"TRY24,248.36",267.34,TRY90.70
Jenerik / Search / Güzellik / İstanbul,,Paused,"TRY23,446.63",230.51,TRY101.72
Hype / Grupanya / Search / DSA  / İstanbul / İftar,,Paused,"TRY21,908.94",217.78,TRY100.60
Hype / Grupanya / Jenerik / Search / Etklinlik Kurs /Ankara,,Paused,"TRY13,585.52",12.06,"TRY1,126.74"
PMax / Guzellik / Izmir,,Enabled,"TRY12,134.17",207.65,TRY58.43
PMax / Kahvalti / Istanbul,,Enabled,"TRY9,228.76",118.17,TRY78.10
Izmir-GRP3-2,,Paused,"TRY8,378.28",218.02,TRY38.43
Grupanya / Jenerik / Search / Güzellik / İstanbul,,Paused,"TRY6,634.19",81.85,TRY81.06
GRP23-Aydın-Aquapark,,Paused,"TRY5,154.85",90.50,TRY56.96
Hype / Grupanya / Brand + Kategori/ Broad match,,Paused,"TRY4,884.54","1,581.90",TRY3.09
Istanbul-GRP3,,Paused,"TRY4,620.77",60.09,TRY76.90
PMax / Guzellik / Istanbul,,Enabled,"TRY4,376.50",35.53,TRY123.19
Hype / Grupanya / Jenerik / Search / Sehir Fırsatı / Antalya,,Enabled,"TRY4,010.45",490.10,TRY8.18
Hype / Grupanya / Jenerik / Search / Etklinlik Kurs / İstanbul,,Paused,"TRY3,458.58",21.46,TRY161.17
Grupanya / Search / Custom Campaigns / Aydin,,Paused,"TRY2,682.60",0.00,TRY0.00
GRP3-Antalya-Plaj-Havuz-Aquapark,,Paused,"TRY2,270.34",43.50,TRY52.19
Hype / Grupanya / Sevgililer Günü / Jenerik / Şehir Fırsatı / İstanbul,,Paused,"TRY2,081.63",64.69,TRY32.18
Hype / Grupanya / Jenerik / Search / Sehir Fırsatı / Ankara,,Paused,"TRY1,944.32",142.92,TRY13.60
Guzellik Demand Gen,,Paused,"TRY1,876.32",0.00,TRY0.00
Ankara Custom Campaign,,Paused,"TRY1,803.45",16.34,TRY110.39
Hype / Grupanya / Search / Jenerik / İstanbul Yılbaşı Yemek,,Paused,"TRY1,778.32",2.00,TRY889.16
Hype / Grupanya / Search / Jenerik / İstanbul Yılbaşı Eğlence,,Paused,"TRY1,708.81",11.90,TRY143.62
Hype / Grupanya / Jenerik / Search / Sehir Fırsatı / İstanbul,,Paused,"TRY1,561.30",92.10,TRY16.95
Eskişehir - Rakipler L3,,Paused,"TRY1,404.10",5.12,TRY274.43
Hype / Grupanya / Jenerik / Search / Etklinlik Kurs / İzmir,,Paused,"TRY1,088.54",8.96,TRY121.43
Hype / Grupanya / Search / Robotlar Anatoluimda,,Paused,"TRY1,072.22",28.09,TRY38.17
Hype / Grupanya / Jenerik / Search / Güzellik / Bursa,,Paused,TRY955.99,2.00,TRY478.00
Grupanya / Smart GDN / New,,Paused,TRY661.50,39.00,TRY16.96
