Day,Start Hour,Impressions
Sunday,12 AM,"246,620"
Sunday,1 AM,"153,161"
Sunday,2 AM,"88,243"
Sunday,3 AM,"47,545"
Sunday,4 AM,"29,662"
Sunday,5 AM,"23,451"
Sunday,6 AM,"25,455"
Sunday,7 AM,"51,626"
Sunday,8 AM,"132,314"
Sunday,9 AM,"258,051"
Sunday,10 AM,"344,758"
Sunday,11 AM,"379,406"
Sunday,12 PM,"371,712"
Sunday,1 PM,"354,253"
Sunday,2 PM,"328,944"
Sunday,3 PM,"306,634"
Sunday,4 PM,"280,106"
Sunday,5 PM,"258,532"
Sunday,6 PM,"233,697"
Sunday,7 PM,"213,428"
Sunday,8 PM,"217,215"
Sunday,9 PM,"226,948"
Sunday,10 PM,"222,890"
Sunday,11 PM,"191,186"
Monday,12 AM,"193,681"
Monday,1 AM,"111,984"
Monday,2 AM,"61,775"
Monday,3 AM,"34,517"
Monday,4 AM,"22,586"
Monday,5 AM,"19,242"
Monday,6 AM,"24,509"
Monday,7 AM,"50,861"
Monday,8 AM,"110,656"
Monday,9 AM,"203,524"
Monday,10 AM,"272,327"
Monday,11 AM,"321,439"
Monday,12 PM,"320,496"
Monday,1 PM,"324,238"
Monday,2 PM,"306,887"
Monday,3 PM,"301,968"
Monday,4 PM,"287,936"
Monday,5 PM,"256,898"
Monday,6 PM,"214,901"
Monday,7 PM,"198,367"
Monday,8 PM,"214,141"
Monday,9 PM,"220,654"
Monday,10 PM,"202,681"
Monday,11 PM,"168,313"
Tuesday,12 AM,"186,279"
Tuesday,1 AM,"103,126"
Tuesday,2 AM,"56,537"
Tuesday,3 AM,"32,459"
Tuesday,4 AM,"22,121"
Tuesday,5 AM,"19,726"
Tuesday,6 AM,"26,146"
Tuesday,7 AM,"56,393"
Tuesday,8 AM,"123,511"
Tuesday,9 AM,"213,561"
Tuesday,10 AM,"282,040"
Tuesday,11 AM,"327,053"
Tuesday,12 PM,"319,838"
Tuesday,1 PM,"321,538"
Tuesday,2 PM,"304,701"
Tuesday,3 PM,"298,376"
Tuesday,4 PM,"281,489"
Tuesday,5 PM,"253,361"
Tuesday,6 PM,"216,893"
Tuesday,7 PM,"202,462"
Tuesday,8 PM,"210,853"
Tuesday,9 PM,"219,108"
Tuesday,10 PM,"201,097"
Tuesday,11 PM,"172,981"
Wednesday,12 AM,"193,347"
Wednesday,1 AM,"107,372"
Wednesday,2 AM,"58,749"
Wednesday,3 AM,"32,626"
Wednesday,4 AM,"21,782"
Wednesday,5 AM,"19,176"
Wednesday,6 AM,"25,567"
Wednesday,7 AM,"55,834"
Wednesday,8 AM,"123,483"
Wednesday,9 AM,"215,004"
Wednesday,10 AM,"281,083"
Wednesday,11 AM,"325,774"
Wednesday,12 PM,"317,953"
Wednesday,1 PM,"322,394"
Wednesday,2 PM,"308,379"
Wednesday,3 PM,"305,017"
Wednesday,4 PM,"291,644"
Wednesday,5 PM,"272,466"
Wednesday,6 PM,"251,227"
Wednesday,7 PM,"237,464"
Wednesday,8 PM,"255,625"
Wednesday,9 PM,"273,195"
Wednesday,10 PM,"271,891"
Wednesday,11 PM,"278,083"
Thursday,12 AM,"281,396"
Thursday,1 AM,"174,726"
Thursday,2 AM,"84,136"
Thursday,3 AM,"42,134"
Thursday,4 AM,"27,963"
Thursday,5 AM,"24,705"
Thursday,6 AM,"32,625"
Thursday,7 AM,"76,813"
Thursday,8 AM,"152,136"
Thursday,9 AM,"238,654"
Thursday,10 AM,"300,693"
Thursday,11 AM,"354,725"
Thursday,12 PM,"339,735"
Thursday,1 PM,"338,723"
Thursday,2 PM,"310,727"
Thursday,3 PM,"305,781"
Thursday,4 PM,"289,661"
Thursday,5 PM,"259,662"
Thursday,6 PM,"228,609"
Thursday,7 PM,"212,576"
Thursday,8 PM,"225,326"
Thursday,9 PM,"223,644"
Thursday,10 PM,"209,719"
Thursday,11 PM,"178,821"
Friday,12 AM,"195,557"
Friday,1 AM,"106,794"
Friday,2 AM,"57,837"
Friday,3 AM,"32,354"
Friday,4 AM,"21,879"
Friday,5 AM,"19,370"
Friday,6 AM,"26,674"
Friday,7 AM,"59,241"
Friday,8 AM,"128,718"
Friday,9 AM,"224,131"
Friday,10 AM,"293,670"
Friday,11 AM,"333,797"
Friday,12 PM,"320,759"
Friday,1 PM,"324,168"
Friday,2 PM,"313,056"
Friday,3 PM,"303,242"
Friday,4 PM,"288,780"
Friday,5 PM,"264,206"
Friday,6 PM,"236,089"
Friday,7 PM,"224,584"
Friday,8 PM,"234,483"
Friday,9 PM,"233,642"
Friday,10 PM,"214,810"
Friday,11 PM,"186,389"
Saturday,12 AM,"224,369"
Saturday,1 AM,"128,141"
Saturday,2 AM,"69,825"
Saturday,3 AM,"38,423"
Saturday,4 AM,"25,011"
Saturday,5 AM,"21,718"
Saturday,6 AM,"26,538"
Saturday,7 AM,"55,789"
Saturday,8 AM,"131,681"
Saturday,9 AM,"235,833"
Saturday,10 AM,"311,980"
Saturday,11 AM,"355,371"
Saturday,12 PM,"358,917"
Saturday,1 PM,"346,968"
Saturday,2 PM,"329,580"
Saturday,3 PM,"311,979"
Saturday,4 PM,"294,139"
Saturday,5 PM,"271,551"
Saturday,6 PM,"246,222"
Saturday,7 PM,"227,227"
Saturday,8 PM,"233,106"
Saturday,9 PM,"239,268"
Saturday,10 PM,"228,325"
Saturday,11 PM,"203,146"
