Age Range,Impressions,Percent of known total
18-24,"2,602,892",12.56%
25-34,"7,960,943",38.42%
35-44,"6,036,187",29.13%
45-54,"3,057,476",14.76%
55-64,"812,579",3.92%
65+,"293,458",1.42%
