Gender,Age Range,Impressions,Percent of known total
Male,18-24,"56,841",3.04%
Male,25-34,"278,737",14.93%
Male,35-44,"248,728",13.32%
Male,45-54,"135,181",7.24%
Male,55-64,"35,637",1.91%
Male,65+,"9,086",0.49%
Female,18-24,"106,463",5.70%
Female,25-34,"451,183",24.16%
Female,35-44,"315,729",16.91%
Female,45-54,"172,300",9.23%
Female,55-64,"46,165",2.47%
Female,65+,"11,506",0.62%
