Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,< 10%,< 10%,No data,No data,No data,No data,66.05%,66.05%,No data,No data
firsat.me,< 10%,< 10%,8.23%,8.23%,33.26%,33.26%,68.24%,68.24%,40.29%,40.29%
jollytur.com,12.77%,12.77%,9.26%,9.26%,5.99%,5.99%,60.45%,60.45%,42.94%,42.94%
etstur.com,10.09%,10.09%,9.23%,9.23%,5.70%,5.70%,71.62%,71.62%,48.99%,48.99%
hotels.com,< 10%,< 10%,9.34%,9.34%,3.36%,3.36%,60.93%,60.93%,48.86%,48.86%
tatilbudur.com,11.55%,11.55%,9.29%,9.29%,5.21%,5.21%,60.93%,60.93%,41.46%,41.46%
trivago.com.tr,< 10%,< 10%,9.32%,9.32%,6.29%,6.29%,61.90%,61.90%,29.55%,29.55%
firsatbufirsat.com,10.14%,10.14%,7.19%,7.19%,48.57%,48.57%,69.04%,69.04%,50.09%,50.09%
tatilsepeti.com,< 10%,< 10%,9.43%,9.43%,1.67%,1.67%,67.96%,67.96%,43.17%,43.17%
