Network,Clicks,Cost,Avg. CPC
Google search,"538,099","TRY1,204,245.84",TRY2.24
Search partners,"2,243","TRY4,014.39",TRY1.79
Display network,179,TRY39.66,TRY0.22
Cross-network,"309,951","TRY717,538.08",TRY2.32
YouTube,0,TRY0.04,TRY0.00
