Device,Cost,Clicks,Conversions
Computers,"TRY370,615.60","129,249","4,001.10"
Mobile phones,"TRY1,549,228.26","718,885","22,866.66"
Tablets,"TRY5,588.79","2,334",49.01
TV screens,TRY405.36,4,0.00
