Start Hour,Impressions
12 AM,"187,666"
1 AM,"113,415"
2 AM,"62,321"
3 AM,"35,176"
4 AM,"23,002"
5 AM,"22,653"
6 AM,"32,362"
7 AM,"70,513"
8 AM,"169,292"
9 AM,"302,564"
10 AM,"374,241"
11 AM,"419,641"
12 PM,"422,541"
1 PM,"416,579"
2 PM,"396,173"
3 PM,"374,724"
4 PM,"339,956"
5 PM,"302,094"
6 PM,"259,034"
7 PM,"229,936"
8 PM,"225,850"
9 PM,"220,969"
10 PM,"192,015"
11 PM,"141,428"
