Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,17.22%,17.22%,No data,No data,No data,No data,71.46%,71.46%,No data,No data
tatilbudur.com,13.97%,13.97%,16.20%,16.20%,7.45%,7.45%,86.23%,86.23%,78.99%,78.99%
otelz.com,11.22%,11.22%,16.68%,16.68%,5.03%,5.03%,84.62%,84.62%,62.21%,62.21%
odamax.com,< 10%,< 10%,16.98%,16.98%,2.09%,2.09%,81.04%,81.04%,64.60%,64.60%
trivago.com.tr,19.25%,19.25%,16.11%,16.11%,11.40%,11.40%,79.02%,79.02%,56.26%,56.26%
etstur.com,12.43%,12.43%,16.51%,16.51%,5.64%,5.64%,88.60%,88.60%,72.73%,72.73%
tatil.com,< 10%,< 10%,16.84%,16.84%,2.62%,2.62%,84.03%,84.03%,84.29%,84.29%
firsatbufirsat.com,12.82%,12.82%,14.15%,14.15%,29.77%,29.77%,77.82%,77.82%,59.84%,59.84%
firsat.me,< 10%,< 10%,16.18%,16.18%,16.66%,16.66%,65.75%,65.75%,36.15%,36.15%
tripadvisor.com.tr,< 10%,< 10%,16.81%,16.81%,5.41%,5.41%,46.73%,46.73%,43.62%,43.62%
jollytur.com,< 10%,< 10%,16.73%,16.73%,3.54%,3.54%,75.96%,75.96%,79.79%,79.79%
tatilsepeti.com,13.77%,13.77%,16.13%,16.13%,9.63%,9.63%,76.53%,76.53%,65.31%,65.31%
hotels.com,< 10%,< 10%,16.83%,16.83%,3.82%,3.82%,81.46%,81.46%,59.42%,59.42%
