Age Range,Impressions,Percent of known total
18-24,"63,324,317",21.82%
25-34,"112,268,065",38.68%
35-44,"64,798,272",22.33%
45-54,"30,853,753",10.63%
55-64,"19,743,626",6.80%
65+,"9,689,603",3.34%
