Day,Start Hour,Impressions
Sunday,12 AM,"3,707,317"
Sunday,1 AM,"2,591,562"
Sunday,2 AM,"1,614,082"
Sunday,3 AM,"928,803"
Sunday,4 AM,"625,131"
Sunday,5 AM,"442,886"
Sunday,6 AM,"456,776"
Sunday,7 AM,"759,691"
Sunday,8 AM,"1,473,799"
Sunday,9 AM,"2,678,738"
Sunday,10 AM,"3,628,511"
Sunday,11 AM,"4,265,422"
Sunday,12 PM,"4,645,547"
Sunday,1 PM,"4,671,174"
Sunday,2 PM,"4,716,443"
Sunday,3 PM,"4,690,877"
Sunday,4 PM,"4,759,047"
Sunday,5 PM,"4,869,764"
Sunday,6 PM,"4,860,442"
Sunday,7 PM,"5,133,580"
Sunday,8 PM,"5,737,899"
Sunday,9 PM,"5,643,084"
Sunday,10 PM,"4,967,635"
Sunday,11 PM,"3,828,340"
Monday,12 AM,"3,306,031"
Monday,1 AM,"2,003,385"
Monday,2 AM,"1,146,694"
Monday,3 AM,"755,395"
Monday,4 AM,"474,281"
Monday,5 AM,"378,700"
Monday,6 AM,"545,680"
Monday,7 AM,"1,023,859"
Monday,8 AM,"1,783,598"
Monday,9 AM,"2,726,414"
Monday,10 AM,"3,550,245"
Monday,11 AM,"4,081,183"
Monday,12 PM,"4,249,787"
Monday,1 PM,"4,437,152"
Monday,2 PM,"4,124,716"
Monday,3 PM,"4,221,750"
Monday,4 PM,"4,373,780"
Monday,5 PM,"4,470,519"
Monday,6 PM,"4,583,296"
Monday,7 PM,"5,035,969"
Monday,8 PM,"5,662,829"
Monday,9 PM,"5,601,921"
Monday,10 PM,"4,961,098"
Monday,11 PM,"4,448,580"
Tuesday,12 AM,"3,180,531"
Tuesday,1 AM,"1,870,845"
Tuesday,2 AM,"1,105,676"
Tuesday,3 AM,"760,812"
Tuesday,4 AM,"534,472"
Tuesday,5 AM,"434,544"
Tuesday,6 AM,"645,217"
Tuesday,7 AM,"1,272,055"
Tuesday,8 AM,"2,185,961"
Tuesday,9 AM,"3,127,779"
Tuesday,10 AM,"3,844,317"
Tuesday,11 AM,"4,294,643"
Tuesday,12 PM,"4,448,097"
Tuesday,1 PM,"4,507,485"
Tuesday,2 PM,"4,319,154"
Tuesday,3 PM,"4,417,272"
Tuesday,4 PM,"4,552,036"
Tuesday,5 PM,"4,614,723"
Tuesday,6 PM,"4,662,394"
Tuesday,7 PM,"5,488,319"
Tuesday,8 PM,"5,969,740"
Tuesday,9 PM,"5,890,059"
Tuesday,10 PM,"5,351,699"
Tuesday,11 PM,"4,293,900"
Wednesday,12 AM,"3,740,099"
Wednesday,1 AM,"2,127,212"
Wednesday,2 AM,"1,190,166"
Wednesday,3 AM,"811,193"
Wednesday,4 AM,"550,350"
Wednesday,5 AM,"429,856"
Wednesday,6 AM,"611,018"
Wednesday,7 AM,"1,180,435"
Wednesday,8 AM,"2,069,066"
Wednesday,9 AM,"3,059,244"
Wednesday,10 AM,"3,755,005"
Wednesday,11 AM,"4,150,026"
Wednesday,12 PM,"4,053,308"
Wednesday,1 PM,"3,988,107"
Wednesday,2 PM,"3,898,943"
Wednesday,3 PM,"3,873,650"
Wednesday,4 PM,"3,926,389"
Wednesday,5 PM,"4,060,113"
Wednesday,6 PM,"4,311,371"
Wednesday,7 PM,"4,781,228"
Wednesday,8 PM,"5,319,254"
Wednesday,9 PM,"5,405,171"
Wednesday,10 PM,"5,230,760"
Wednesday,11 PM,"4,826,886"
