Day,Start Hour,Impressions
Thursday,12 AM,"3,488,573"
Thursday,1 AM,"2,058,796"
Thursday,2 AM,"1,166,757"
Thursday,3 AM,"818,894"
Thursday,4 AM,"582,702"
Thursday,5 AM,"458,515"
Thursday,6 AM,"635,735"
Thursday,7 AM,"1,212,437"
Thursday,8 AM,"2,019,056"
Thursday,9 AM,"2,936,275"
Thursday,10 AM,"3,773,909"
Thursday,11 AM,"4,150,408"
Thursday,12 PM,"4,262,690"
Thursday,1 PM,"4,279,742"
Thursday,2 PM,"4,175,935"
Thursday,3 PM,"4,265,348"
Thursday,4 PM,"4,381,894"
Thursday,5 PM,"4,505,537"
Thursday,6 PM,"4,542,835"
Thursday,7 PM,"5,049,784"
Thursday,8 PM,"5,545,309"
Thursday,9 PM,"5,613,854"
Thursday,10 PM,"5,058,287"
Thursday,11 PM,"4,279,569"
Friday,12 AM,"3,336,798"
Friday,1 AM,"2,060,273"
Friday,2 AM,"1,169,155"
Friday,3 AM,"823,809"
Friday,4 AM,"570,161"
Friday,5 AM,"426,453"
Friday,6 AM,"639,326"
Friday,7 AM,"1,202,581"
Friday,8 AM,"2,064,202"
Friday,9 AM,"2,942,564"
Friday,10 AM,"3,551,385"
Friday,11 AM,"4,109,071"
Friday,12 PM,"4,202,278"
Friday,1 PM,"4,099,527"
Friday,2 PM,"4,011,400"
Friday,3 PM,"4,037,498"
Friday,4 PM,"4,149,207"
Friday,5 PM,"4,274,146"
Friday,6 PM,"4,407,466"
Friday,7 PM,"4,617,585"
Friday,8 PM,"4,994,836"
Friday,9 PM,"5,230,911"
Friday,10 PM,"5,153,633"
Friday,11 PM,"4,588,786"
Saturday,12 AM,"3,349,285"
Saturday,1 AM,"2,182,594"
Saturday,2 AM,"1,265,399"
Saturday,3 AM,"807,348"
Saturday,4 AM,"547,631"
Saturday,5 AM,"421,651"
Saturday,6 AM,"495,734"
Saturday,7 AM,"909,828"
Saturday,8 AM,"1,682,729"
Saturday,9 AM,"2,729,509"
Saturday,10 AM,"3,669,261"
Saturday,11 AM,"4,315,275"
Saturday,12 PM,"4,602,439"
Saturday,1 PM,"4,660,013"
Saturday,2 PM,"4,706,155"
Saturday,3 PM,"4,786,752"
Saturday,4 PM,"4,830,011"
Saturday,5 PM,"4,868,095"
Saturday,6 PM,"4,884,916"
Saturday,7 PM,"5,175,277"
Saturday,8 PM,"5,436,069"
Saturday,9 PM,"5,065,809"
Saturday,10 PM,"4,628,155"
Saturday,11 PM,"4,256,871"
