Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
grupanya,"TRY1,336,537.20","5,947,519","10,279,211",0.00,"(grupanya, grupanya bursa, grupanya izmir)"
fırsat,"TRY322,817.83","320,733","2,229,764",0.00,"(fırsat bu fırsat, fırsat me, fırsat)"
bu,"TRY236,234.92","145,079","1,254,961",0.00,"(fırsat bu fırsat, firsat bu firsat)"
fırsatları,"TRY166,853.76","283,475","1,089,789",0.00,"(şehir fırsatları, kahvaltı fırsatları, masaj fırsatları)"
jolly joker,"TRY25,156.54","94,328","872,174",0.00,"(jolly joker, jolly joker ankara, jolly joker antalya)"
ankara,"TRY68,846.50","179,445","794,712",0.00,"(jolly joker ankara, grupanya ankara, ankara iftar mekanları)"
şehir,"TRY54,459.02","188,700","692,313",0.00,"(şehir fırsatları, şehir fırsatı, ankara şehir fırsatları)"
iftar,"TRY24,059.35","114,117","679,621",0.00,"(iftar menüleri, iftar menüsü, ankara iftar mekanları)"
masaj,"TRY290,621.51","188,361","669,269",0.00,"(masaj, grupanya masaj, masaj fırsatları)"
kahvaltı,"TRY59,895.18","146,556","635,115",0.00,"(kahvaltı fırsatları, kahvaltı mekanları, grupanya kahvaltı)"
izmir,"TRY79,356.47","176,415","531,676",0.00,"(grupanya izmir, izmir fırsatları, izmir etkinlik)"
istanbul,"TRY115,070.65","174,975","495,829",0.00,"(grupanya istanbul, istanbul fırsatları, istanbul iftar mekanları)"
bursa,"TRY39,077.15","143,164","458,020",0.00,"(grupanya bursa, jolly joker bursa, yakalaco bursa)"
me,"TRY23,435.04","22,681","403,265",0.00,"(fırsat me, firsat me)"
sevgililer günü,"TRY3,105.30","9,659","398,589",0.00,"(sevgililer günü, sevgililer günü hediyesi, sevgililer günü hediyeleri)"
yakala,"TRY35,042.54","48,976","361,713",0.00,"(yakala co, yakala)"
groupon,"TRY36,831.33","108,990","338,475",0.00,(groupon)
co,"TRY30,012.21","41,883","320,075",0.00,(yakala co)
mekanları,"TRY13,735.32","48,267","281,445",0.00,"(kahvaltı mekanları, ankara iftar mekanları, istanbul iftar mekanları)"
park,"TRY9,523.19","44,833","276,829",0.00,"(dolusu park, green park pendik, green park merter)"
fırsatı,"TRY14,244.16","75,535","268,187",0.00,(şehir fırsatı)
menüleri,"TRY7,053.65","40,419","262,581",0.00,(iftar menüleri)
antalya,"TRY30,861.73","71,435","258,097",0.00,"(jolly joker antalya, grupanya antalya)"
firsat,"TRY26,345.81","35,758","243,255",0.00,"(firsat, firsat bu firsat, firsat me)"
turlar,"TRY1,471.98","9,522","202,216",0.00,"(günübirlik turlar, turlar)"
etkinlik,"TRY4,079.92","30,501","188,969",0.00,"(izmir etkinlik, ankara etkinlik, istanbul etkinlik)"
menüsü,"TRY4,197.91","22,028","188,907",0.00,(iftar menüsü)
siteleri,"TRY18,263.63","45,663","184,308",0.00,(fırsat siteleri)
tatil,"TRY12,826.92","36,632","176,265",0.00,"(tatil sepeti, grupanya tatil, tatil fırsatları)"
gurupanya,"TRY8,140.72","101,245","161,884",0.00,(gurupanya)
firsatbufirsat,"TRY26,338.29","18,733","161,648",0.00,(firsatbufirsat)
beyrut,"TRY3,074.56","8,388","159,852",0.00,(beyrut performance)
performance,"TRY3,074.56","8,388","159,852",0.00,(beyrut performance)
akvaryum,"TRY22,662.68","12,413","158,655",0.00,(emaar akvaryum)
emaar,"TRY22,662.68","12,413","158,655",0.00,(emaar akvaryum)
ooze,"TRY4,057.56","15,355","148,094",0.00,(ooze venue)
venue,"TRY4,057.56","15,355","148,094",0.00,(ooze venue)
green park,"TRY3,457.01","7,572","140,570",0.00,"(green park pendik, green park merter, green park)"
35,"TRY8,464.63","23,210","132,853",0.00,(fırsat 35)
günübirlik,"TRY1,019.67","5,704","131,482",0.00,(günübirlik turlar)
firsat35,"TRY4,720.53","27,957","130,831",0.00,(firsat35)
grupfoni,"TRY6,480.31","22,429","127,542",0.00,(grupfoni)
turu,TRY502.27,"2,251","124,841",0.00,"(kapadokya turu, italya turu)"
spa,"TRY16,248.70","11,531","107,710",0.00,"(spa, spa masaj)"
groupanya,"TRY5,263.30","59,601","106,901",0.00,(groupanya)
yakalaco,"TRY3,283.30","11,289","102,018",0.00,"(yakalaco, yakalaco bursa)"
döner,"TRY8,017.73","7,510","98,504",0.00,(saafi döner)
saafi,"TRY8,017.73","7,510","98,504",0.00,(saafi döner)
dolusu,"TRY5,257.32","23,754","93,424",0.00,(dolusu park)
balçova,"TRY2,545.05","25,965","90,053",0.00,"(balçova aquapark, balçova aqua park)"
grupon,"TRY6,404.73","26,550","80,665",0.00,(grupon)
sepeti,"TRY2,624.38","3,910","80,592",0.00,(tatil sepeti)
kapadokya,TRY220.64,"1,329","72,998",0.00,(kapadokya turu)
geupanya,"TRY3,638.12","42,362","71,335",0.00,(geupanya)
kafika,"TRY1,505.13","9,260","67,012",0.00,(kafika)
suada,"TRY1,242.68","4,517","64,953",0.00,(suada)
fırsatlar,"TRY6,151.69","14,224","63,482",0.00,(fırsatlar)
hediyesi,TRY780.08,"1,762","60,080",0.00,(sevgililer günü hediyesi)
hediyeleri,TRY269.64,756,"58,592",0.00,(sevgililer günü hediyeleri)
otel,"TRY12,823.24","37,277","57,330",0.00,(grupanya otel)
cinemaximum,TRY556.92,"5,586","56,891",0.00,(cinemaximum kampanya)
kampanya,TRY556.92,"5,586","56,891",0.00,(cinemaximum kampanya)
polonezköy,"TRY13,689.75","6,949","56,109",0.00,(polonezköy kahvaltı)
