Start Hour,Impressions
12 AM,"24,108,634"
1 AM,"14,894,667"
2 AM,"8,657,929"
3 AM,"5,706,254"
4 AM,"3,884,728"
5 AM,"2,992,605"
6 AM,"4,029,486"
7 AM,"7,560,886"
8 AM,"13,278,411"
9 AM,"20,200,523"
10 AM,"25,772,633"
11 AM,"29,366,028"
12 PM,"30,464,146"
1 PM,"30,643,200"
2 PM,"29,952,746"
3 PM,"30,293,147"
4 PM,"30,972,364"
5 PM,"31,662,897"
6 PM,"32,252,720"
7 PM,"35,281,742"
8 PM,"38,665,936"
9 PM,"38,450,809"
10 PM,"35,351,267"
11 PM,"30,522,932"
