Campaign Name,Campaign Group Name,Campaign Status,Cost,Conversions,Cost / conv.
,GRP3 Campaigns,,"TRY1,471,801.33","144,268.97",TRY10.20
PMax Grupanya Brand,,Enabled,"TRY1,416,679.70","30,506.84",TRY46.44
Hype / Grupanya / Brand / Pure Brand / Broad Match,,Enabled,"TRY1,165,858.11","153,376.86",TRY7.60
Hype / Grupanya / Search / DSA - 2,,Enabled,"TRY955,060.49","18,753.92",TRY50.93
Hype / Grupanya / Jenerik / Search / Güzellik / İstanbul,,Enabled,"TRY624,853.56","7,066.02",TRY88.43
Istanbul - Rakipler L3,,Paused,"TRY556,129.42","37,343.61",TRY14.89
Turkey-GRP3-Hotels,,Paused,"TRY509,624.18","21,197.00",TRY24.04
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul,,Enabled,"TRY473,052.17","6,976.08",TRY67.81
Hype / Grupanya / Brand + Kategori/ Broad match #2,,Enabled,"TRY434,496.25","10,040.50",TRY43.27
Mobile Android Universal App Download,,Paused,"TRY356,771.25","420,387.00",TRY0.85
Istanbul-GRP3,,Paused,"TRY342,981.66","50,613.09",TRY6.78
Hype / Grupanya / Search / DSA,,Paused,"TRY253,934.94","48,019.76",TRY5.29
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul #2,,Enabled,"TRY207,047.55","1,297.34",TRY159.59
Izmir-GRP3,,Paused,"TRY158,481.06","20,567.38",TRY7.71
Android Mobile Download,,Paused,"TRY152,612.49","134,216.00",TRY1.14
Ankara-GRP3,,Paused,"TRY149,707.54","22,044.00",TRY6.79
Grupanya / Search / Custom Campaigns,,Enabled,"TRY142,115.59","4,500.01",TRY31.58
Hype / Grupanya / Jenerik / Search / Güzellik /Ankara,,Paused,"TRY120,652.91",942.69,TRY127.99
İzmir - Rakipler L3,,Enabled,"TRY117,077.39","8,049.95",TRY14.54
Hype / Grupanya / Jenerik / Search / Yemek / İstanbul,,Enabled,"TRY89,803.70",854.36,TRY105.11
Ankara - Rakipler L3,,Enabled,"TRY87,952.05","7,123.45",TRY12.35
Android Mobile Download New Targeting Methods,,Paused,"TRY87,629.43","101,275.00",TRY0.87
Mobile Search Download Android,,Removed,"TRY87,410.18","104,579.00",TRY0.84
Antalya - Rakipler L3,,Enabled,"TRY84,976.15","5,124.99",TRY16.58
Istanbul-GRP3-Channels,,Enabled,"TRY71,482.49","3,913.00",TRY18.27
Hype / Grupanya / Brand + Kategori/ Broad match #3,,Paused,"TRY66,573.36","1,071.57",TRY62.13
Hype_Grupanya_İstanbul_İftar,,Paused,"TRY64,830.96","1,299.14",TRY49.90
Hype / Grupanya / Jenerik / Search / Güzellik / İzmir,,Enabled,"TRY51,896.01",913.61,TRY56.80
PMax / Masaj / Istanbul,,Enabled,"TRY50,365.41",595.14,TRY84.63
Bursa-GRP3,,Paused,"TRY46,112.91","6,563.00",TRY7.03
Antalya-GRP3,,Paused,"TRY37,386.47","6,656.00",TRY5.62
Hype / Grupanya / Brand + Kategori/ Broad match,,Paused,"TRY37,076.11","20,436.40",TRY1.81
Bursa - Rakipler L3,,Enabled,"TRY33,611.10","2,216.34",TRY15.17
Hype / Grupanya / Search / DSA  / İstanbul / İftar,,Paused,"TRY28,727.21",470.75,TRY61.02
Hype - Turkey - Grupanya L3 - Brand - Exact Match,,Paused,"TRY28,725.56","27,753.00",TRY1.04
Jenerik / Search / Güzellik / İzmir,,Paused,"TRY28,562.86",536.90,TRY53.20
Ankara-GRP3-Channels,,Paused,"TRY26,910.19","1,050.00",TRY25.63
Jenerik / Search / Güzellik / İstanbul,,Paused,"TRY23,446.63",230.51,TRY101.72
TR-Mercek-Display,,Paused,"TRY23,227.14",742.00,TRY31.30
Istanbul - Grupanya L3,,Paused,"TRY20,151.84","40,748.00",TRY0.49
Izmir-GRP3-Channels,,Paused,"TRY14,954.26",774.00,TRY19.32
Hype / Grupanya / Jenerik / Search / Etklinlik Kurs /Ankara,,Paused,"TRY13,919.77",27.19,TRY511.97
Istanbul-GRP3-Activity,,Paused,"TRY12,201.68",640.00,TRY19.07
PMax / Guzellik / Izmir,,Enabled,"TRY12,134.17",207.65,TRY58.43
Bursa-GRP3-Channels,,Enabled,"TRY11,989.91",718.00,TRY16.70
Istanbul-GRP3-Food-Drink,,Paused,"TRY11,910.00","1,160.50",TRY10.26
Antalya - Grupanya L3 -Untargetted,,Paused,"TRY11,864.25","2,762.00",TRY4.30
Ankara-GRP3-Food-Drink,,Paused,"TRY10,705.94",407.00,TRY26.30
Istanbul-GRP3-Spa,,Paused,"TRY9,929.39",916.00,TRY10.84
Hype / Grupanya / Jenerik / Search / Sehir Fırsatı / Antalya,,Enabled,"TRY9,233.18","1,342.33",TRY6.88
