Search,Cost,Clicks,Impressions,Conversions
kafika,"TRY1,505.13","9,260","67,012",0.00
suada,"TRY1,242.68","4,517","64,953",0.00
istanbul iftar mekanları,"TRY4,039.50","13,595","63,734",0.00
fırsatlar,"TRY6,151.69","14,224","63,482",0.00
firsat me,"TRY2,844.81","3,179","60,125",0.00
sevgililer günü hediyesi,TRY780.08,"1,762","60,080",0.00
sevgililer günü hediyeleri,TRY269.64,756,"58,592",0.00
grupanya otel,"TRY12,823.24","37,277","57,330",0.00
cinemaximum kampanya,TRY556.92,"5,586","56,891",0.00
polonezköy kahvaltı,"TRY13,689.75","6,949","56,109",0.00
ankara etkinlik,"TRY1,374.80","10,665","55,432",0.00
fırsat35,"TRY5,218.91","11,941","54,984",0.00
jolly joker istanbul,"TRY1,427.25","4,878","54,695",0.00
ankara masaj,"TRY10,786.00","6,925","54,682",0.00
green park pendik,"TRY1,260.92","2,073","54,352",0.00
yakalaco,"TRY1,966.42","2,217","53,448",0.00
izmir kahvaltı,"TRY1,869.46","7,314","53,132",0.00
çiçekliköy kahvaltı,"TRY5,672.80","7,018","53,088",0.00
grupanya tatil,"TRY8,016.20","29,485","51,947",0.00
italya turu,TRY281.63,922,"51,843",0.00
izmir fırsat,"TRY7,609.53","16,742","51,673",0.00
birlikte alalım,"TRY1,809.58","5,079","50,580",0.00
iznik askania,"TRY1,070.21","4,551","49,598",0.00
iftar fırsatları,"TRY3,919.63","13,559","49,566",0.00
istanbul etkinlik,"TRY1,323.70","5,039","49,486",0.00
grupanya iletişim,"TRY1,959.25","10,673","48,813",0.00
sehirfirsati,"TRY2,755.50","14,150","48,743",0.00
yakalaco bursa,"TRY1,316.88","9,072","48,570",0.00
sinema bileti,TRY253.02,"3,225","47,419",0.00
balçova aquapark,"TRY1,736.19","12,458","47,218",0.00
kız kulesi,TRY680.24,"2,528","45,918",0.00
iftar mekanları,"TRY2,090.87","7,959","45,356",0.00
mercure hotel,"TRY1,189.89","3,110","44,811",0.00
nuspa,"TRY5,664.45","4,136","44,088",0.00
tatil fırsatları,"TRY2,186.34","3,237","43,726",0.00
green park merter,"TRY1,191.18","3,156","43,401",0.00
cilt bakımı,"TRY3,422.73","1,625","43,004",0.00
balçova aqua park,TRY808.86,"13,507","42,835",0.00
green park,"TRY1,004.91","2,343","42,817",0.00
ankara kahvaltı,"TRY1,038.04","4,633","42,398",0.00
istanbul masaj,"TRY17,948.81","7,509","42,322",0.00
bursa masaj,"TRY6,826.00","5,547","42,264",0.00
tiyatro,TRY457.94,"2,838","41,986",0.00
yakala,"TRY5,030.34","7,093","41,638",0.00
açık büfe kahvaltı,"TRY1,514.34","4,545","41,620",0.00
izmir kahvaltı fırsatları,"TRY4,507.53","11,579","40,760",0.00
spa masaj,"TRY8,163.98","5,926","40,239",0.00
ankara şehir fırsatları,"TRY4,982.88","13,726","39,608",0.00
