Search,Cost,Clicks,Impressions,Conversions
grupanya,"TRY974,804.98","5,248,590","8,904,702",0.00
fırsat bu fırsat,"TRY229,288.40","137,960","1,184,379",0.00
şehir fırsatları,"TRY35,231.97","99,439","384,518",0.00
fırsat me,"TRY20,590.23","19,502","343,140",0.00
groupon,"TRY36,831.33","108,990","338,475",0.00
fırsat,"TRY38,601.41","77,656","333,411",0.00
yakala co,"TRY30,012.21","41,883","320,075",0.00
jolly joker,"TRY8,728.82","28,460","282,098",0.00
jolly joker ankara,"TRY7,201.56","29,410","280,706",0.00
sevgililer günü,"TRY2,055.58","7,141","279,917",0.00
şehir fırsatı,"TRY14,244.16","75,535","268,187",0.00
iftar menüleri,"TRY7,053.65","40,419","262,581",0.00
grupanya bursa,"TRY27,392.11","113,045","245,090",0.00
grupanya izmir,"TRY55,899.41","99,247","204,720",0.00
grupanya istanbul,"TRY70,399.49","120,871","200,438",0.00
masaj,"TRY67,716.34","29,253","197,531",0.00
iftar menüsü,"TRY4,197.91","22,028","188,907",0.00
fırsat siteleri,"TRY18,263.63","45,663","184,308",0.00
grupanya ankara,"TRY34,283.12","76,147","184,277",0.00
gurupanya,"TRY8,140.72","101,245","161,884",0.00
firsatbufirsat,"TRY26,338.29","18,733","161,648",0.00
grupanya masaj,"TRY114,017.36","96,932","161,160",0.00
beyrut performance,"TRY3,074.56","8,388","159,852",0.00
emaar akvaryum,"TRY22,662.68","12,413","158,655",0.00
kahvaltı fırsatları,"TRY16,419.03","34,465","149,914",0.00
ooze venue,"TRY4,057.56","15,355","148,094",0.00
fırsat 35,"TRY8,464.63","23,210","132,853",0.00
jolly joker antalya,"TRY4,256.75","16,080","132,579",0.00
günübirlik turlar,"TRY1,019.67","5,704","131,482",0.00
masaj fırsatları,"TRY65,163.02","36,269","131,071",0.00
firsat35,"TRY4,720.53","27,957","130,831",0.00
grupfoni,"TRY6,480.31","22,429","127,542",0.00
grupanya antalya,"TRY26,604.98","55,355","125,518",0.00
jolly joker bursa,"TRY3,542.16","15,500","122,096",0.00
firsat,"TRY16,554.48","25,460","112,548",0.00
groupanya,"TRY5,263.30","59,601","106,901",0.00
kahvaltı mekanları,"TRY4,847.17","10,156","102,878",0.00
saafi döner,"TRY8,017.73","7,510","98,504",0.00
izmir fırsatları,"TRY8,089.12","26,736","97,340",0.00
grupanya kahvaltı,"TRY10,337.07","59,897","95,216",0.00
dolusu park,"TRY5,257.32","23,754","93,424",0.00
istanbul fırsatları,"TRY19,931.89","23,083","85,154",0.00
izmir etkinlik,"TRY1,381.42","14,797","84,051",0.00
grupon,"TRY6,404.73","26,550","80,665",0.00
tatil sepeti,"TRY2,624.38","3,910","80,592",0.00
kapadokya turu,TRY220.64,"1,329","72,998",0.00
geupanya,"TRY3,638.12","42,362","71,335",0.00
turlar,TRY452.31,"3,818","70,734",0.00
firsat bu firsat,"TRY6,946.52","7,119","70,582",0.00
ankara iftar mekanları,"TRY2,757.78","16,557","69,477",0.00
ankara fırsatları,"TRY6,422.32","21,382","68,132",0.00
spa,"TRY8,084.73","5,605","67,471",0.00
