Network,Clicks,Cost,Avg. CPC
Google search,"19,256,888","TRY7,448,070.97",TRY0.39
Search partners,"70,129","TRY25,347.15",TRY0.36
Display network,"5,978,859","TRY598,181.88",TRY0.10
Cross-network,"928,909","TRY1,494,660.85",TRY1.61
YouTube,"7,182","TRY2,692.44",TRY0.37
