Kampanya İsmi;Gönderim Tarihi;E-Posta Konusu;Gönderim Kriterleri;Hariç Tutulacak Kriterler;Gönderilen;Okunan;Okuma Oranı;Tekil Tıklama;Tekil Tıklama Oranı;Toplam Okuma;Toplam Tıklama;Ulaşmayan;Ulaşmayan Oranı;Geçersiz;Geçersiz Oranı;Diğer;Diğer Oran;Üyelikten Ayrılanlar;Üyelikten Ayrılan Oranı;Şikayet;Şikayet Oranı;Ziyaretçi;Satın Alan;Satın Alan Oranı;Ürün;Ciro
izmIZM_5461987;20/10/2025 08:30;<##PersonalSubject##>;;;17586;4675;26,58;0;0,00;5257;0;303;1,72;26;0,15;12582;71,55;0;0,00;0;0,00;;0;0,00;0;
antANT_5461991;20/10/2025 08:30;<##PersonalSubject##>;;;5855;1503;25,67;0;0,00;1702;0;107;1,83;7;0,12;4238;72,38;0;0,00;0;0,00;;0;0,00;0;
istIST_5461983;20/10/2025 08:30;<##PersonalSubject##>;;;79481;20916;26,32;16;0,08;23705;41;1736;2,18;51;0,06;56778;71,44;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461985;20/10/2025 08:30;<##PersonalSubject##>;;;13580;3717;27,37;1;0,03;4246;1;451;3,32;18;0,13;9394;69,18;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461975;19/10/2025 08:30;<##PersonalSubject##>;;;13537;4093;30,24;10;0,24;4670;61;4;0,03;10;0,07;9430;69,66;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461979;19/10/2025 08:30;<##PersonalSubject##>;;;5665;1707;30,13;0;0,00;1912;0;4;0,07;7;0,12;3947;69,67;0;0,00;0;0,00;;0;0,00;0;
istIST_5461973;19/10/2025 08:30;<##PersonalSubject##>;;;79197;22561;28,49;23;0,10;25731;149;37;0,05;53;0,07;56546;71,40;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461977;19/10/2025 08:30;<##PersonalSubject##>;;;17482;5027;28,76;1;0,02;5678;1;2;0,01;26;0,15;12427;71,08;0;0,00;0;0,00;;0;0,00;0;
antANT_5461981;19/10/2025 08:30;<##PersonalSubject##>;;;5874;1671;28,45;0;0,00;1871;0;1;0,02;5;0,09;4197;71,45;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_5461971;18/10/2025 13:00;<##PersonalSubject##>;;;114404;31552;27,58;29;0,09;36091;53;2573;2,25;41;0,04;80238;70,14;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461965;18/10/2025 08:30;<##PersonalSubject##>;;;17462;4784;27,40;1;0,02;5393;2;317;1,82;12;0,07;12349;70,72;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461967;18/10/2025 08:30;<##PersonalSubject##>;;;5645;1746;30,93;1;0,06;1973;1;97;1,72;6;0,11;3796;67,25;0;0,00;0;0,00;;0;0,00;0;
istIST_5461961;18/10/2025 08:30;<##PersonalSubject##>;;;79647;22198;27,87;27;0,12;25366;60;1723;2,16;54;0,07;55672;69,90;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461963;18/10/2025 08:30;<##PersonalSubject##>;;;13557;4154;30,64;7;0,17;4696;21;600;4,43;10;0,07;8793;64,86;0;0,00;0;0,00;;0;0,00;0;
antANT_5461969;18/10/2025 08:30;<##PersonalSubject##>;;;5879;1611;27,40;1;0,06;1804;2;97;1,65;9;0,15;4162;70,79;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461955;17/10/2025 08:30;<##PersonalSubject##>;;;17486;4660;26,65;1;0,02;5163;2;1;0,01;23;0,13;12802;73,21;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461953;17/10/2025 08:30;<##PersonalSubject##>;;;13509;3818;28,26;1;0,03;4241;3;6;0,04;9;0,07;9676;71,63;0;0,00;0;0,00;;0;0,00;0;
istIST_5461951;17/10/2025 08:30;<##PersonalSubject##>;;;79460;21612;27,20;1;0,00;24462;6;35;0,04;60;0,08;57753;72,68;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461957;17/10/2025 08:30;<##PersonalSubject##>;;;5645;1679;29,74;0;0,00;1845;0;4;0,07;5;0,09;3957;70,10;0;0,00;0;0,00;;0;0,00;0;
antANT_5461959;17/10/2025 08:30;<##PersonalSubject##>;;;5740;1521;26,50;4;0,26;1697;16;1;0,02;1;0,02;4217;73,47;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_5461949;16/10/2025 13:00;<##PersonalSubject##>;;;114119;29716;26,04;5;0,02;32606;8;48;0,04;72;0,06;84283;73,86;0;0,00;0;0,00;;0;0,00;0;
