Campaign Name;Date;Email Subject;Target Criteria;Excluded Criteria;Sent;Total Opens;Open Rate;Unique Clicks;Unique Click Rate;Total Open;Total Clicks;Soft Bounce;Soft Bounce Rate;Hard Bounce;Hard Bounce Rate;Other;Other Rate;Unsubscribed;Unsubscribed Rate;Complaint;Complaint Rate;Visitor;Buyer;Buyer Conversion;Item;Revenue
ankANK_5461710;24/09/2025 08:30;<##PersonalSubject##>;;;24287;4049;16,67;18;0,44;4618;23;662;2,73;19;0,08;19557;80,52;0;0,00;0;0,00;;0;0,00;0;
istIST_5461708;24/09/2025 08:30;<##PersonalSubject##>;;;142961;21449;15,00;40;0,19;24506;61;2414;1,69;73;0,05;119025;83,26;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461712;24/09/2025 08:30;<##PersonalSubject##>;;;35961;4790;13,32;2;0,04;5388;2;439;1,22;27;0,08;30705;85,38;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461704;23/09/2025 08:30;<##PersonalSubject##>;;;10137;2809;27,71;5;0,18;3199;7;329;3,25;8;0,08;6991;68,97;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461700;23/09/2025 08:30;<##PersonalSubject##>;;;24264;6560;27,04;41;0,63;7640;61;985;4,06;14;0,06;16705;68,85;0;0,00;0;0,00;;0;0,00;0;
antANT_5461706;23/09/2025 08:30;<##PersonalSubject##>;;;10294;2485;24,14;3;0,12;2859;3;335;3,25;7;0,07;7467;72,54;0;0,00;0;0,00;;0;0,00;0;
istIST_5461698;23/09/2025 08:30;<##PersonalSubject##>;;;142577;35688;25,03;107;0,30;41866;185;6291;4,41;55;0,04;100543;70,52;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461702;23/09/2025 08:30;<##PersonalSubject##>;;;36024;7651;21,24;8;0,10;8778;8;1544;4,29;15;0,04;26814;74,43;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461690;22/09/2025 08:30;<##PersonalSubject##>;;;24312;6619;27,23;60;0,91;7651;87;551;2,27;8;0,03;17134;70,48;0;0,00;0;0,00;;0;0,00;0;
istIST_5461688;22/09/2025 08:30;<##PersonalSubject##>;;;142667;36261;25,42;113;0,31;42503;193;4956;3,47;49;0,03;101401;71,08;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461692;22/09/2025 08:30;<##PersonalSubject##>;;;35830;7707;21,51;14;0,18;8854;23;1283;3,58;21;0,06;26819;74,85;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461694;22/09/2025 08:30;<##PersonalSubject##>;;;10152;2782;27,40;6;0,22;3188;7;283;2,79;5;0,05;7082;69,76;0;0,00;0;0,00;;0;0,00;0;
antANT_5461696;22/09/2025 08:30;<##PersonalSubject##>;;;10252;2585;25,21;3;0,12;2955;3;253;2,47;3;0,03;7411;72,29;0;0,00;0;0,00;;0;0,00;0;
antANT_5461686;21/09/2025 08:30;<##PersonalSubject##>;;;10247;2552;24,90;6;0,24;2915;10;82;0,80;5;0,05;7608;74,25;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461680;21/09/2025 08:30;<##PersonalSubject##>;;;24493;7009;28,62;59;0,84;8071;89;66;0,27;10;0,04;17408;71,07;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461684;21/09/2025 08:30;<##PersonalSubject##>;;;10158;2925;28,80;3;0,10;3326;3;49;0,48;4;0,04;7180;70,68;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461682;21/09/2025 08:30;<##PersonalSubject##>;;;36111;7991;22,13;9;0,11;9142;12;290;0,80;26;0,07;27804;77,00;0;0,00;0;0,00;;0;0,00;0;
istIST_5461678;21/09/2025 08:30;<##PersonalSubject##>;;;142751;37168;26,04;94;0,25;43215;170;1898;1,33;63;0,04;103622;72,59;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_5461676;20/09/2025 13:00;<##PersonalSubject##>;;;209659;52596;25,09;193;0,37;61012;320;6819;3,25;67;0,03;150177;71,63;0;0,00;0;0,00;;0;0,00;0;
istIST_5461666;20/09/2025 08:30;<##PersonalSubject##>;;;142736;35851;25,12;119;0,33;41670;134;4711;3,30;96;0,07;102078;71,52;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461672;20/09/2025 08:30;<##PersonalSubject##>;;;10161;2844;27,99;4;0,14;3239;6;279;2,75;8;0,08;7030;69,19;0;0,00;0;0,00;;0;0,00;0;
antANT_5461674;20/09/2025 08:30;<##PersonalSubject##>;;;10161;2534;24,94;2;0,08;2886;4;277;2,73;7;0,07;7343;72,27;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461668;20/09/2025 08:30;<##PersonalSubject##>;;;24301;6793;27,95;59;0,87;7864;63;636;2,62;15;0,06;16857;69,37;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461670;20/09/2025 08:30;<##PersonalSubject##>;;;36176;7849;21,70;11;0,14;8986;16;1285;3,55;25;0,07;27017;74,68;0;0,00;0;0,00;;0;0,00;0;
burBUR_5461662;19/09/2025 08:30;<##PersonalSubject##>;;;10083;2863;28,39;2;0,07;3276;2;284;2,82;5;0,05;6931;68,74;0;0,00;0;0,00;;0;0,00;0;
ankANK_5461658;19/09/2025 08:30;<##PersonalSubject##>;;;24093;6778;28,13;52;0,77;7872;73;579;2,40;12;0,05;16724;69,41;0;0,00;0;0,00;;0;0,00;0;
istIST_5461656;19/09/2025 08:30;<##PersonalSubject##>;;;142650;36349;25,48;119;0,33;42558;201;5108;3,58;59;0,04;101134;70,90;0;0,00;0;0,00;;0;0,00;0;
antANT_5461664;19/09/2025 08:30;<##PersonalSubject##>;;;10134;2580;25,46;3;0,12;2955;4;235;2,32;3;0,03;7316;72,19;0;0,00;0;0,00;;0;0,00;0;
izmIZM_5461660;19/09/2025 08:30;<##PersonalSubject##>;;;36037;7644;21,21;13;0,17;8722;17;1316;3,65;21;0,06;27056;75,08;0;0,00;0;0,00;;0;0,00;0;
tatilTUMTR_5461654;18/09/2025 13:00;<##PersonalSubject##>;;;209233;51651;24,69;160;0,31;60391;251;8137;3,89;73;0,03;149372;71,39;0;0,00;0;0,00;;0;0,00;0;
