"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (TRY)","Purchases conversion value",Ends,"Link clicks","Website purchases",Views
2022-10-10,2025-11-10,"FB - IG - Post Promote - Havuz Plaj",not_delivering,"Using ad set budget",0,"7-day click or 1-day view",1113,actions:offsite_conversion.fb_pixel_purchase,536446,2260974,60.99963163,67892.59,1046775.97,Ongoing,23538,1113,160484
2022-10-10,2025-11-10,"FB - IG - BCC Beauty & Care Center",not_delivering,1200,Lifetime,"7-day click or 1-day view",1944,actions:link_click,67150,127679,0.61728395,1200,,2023-07-22,1944,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - TorTuga",inactive,2100,Lifetime,"7-day click or 1-day view",6,actions:offsite_conversion.fb_pixel_purchase,37670,104368,206.91,1241.46,4398.5,2023-08-20,709,6,0
2022-10-10,2025-11-10,"FB - IG - Turkcell Platinium Işık Festivali",not_delivering,200,Daily,"7-day click or 1-day view",339,actions:offsite_conversion.fb_pixel_purchase,118848,519497,50.2360767,17030.03,241285.09,Ongoing,2591,339,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Aqua Atlantis",inactive,1000,Lifetime,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,13206,25736,352.91,352.91,33,2023-08-20,200,1,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Izmir - Guzellik",inactive,200,Daily,"7-day click or 1-day view",68,actions:offsite_conversion.fb_pixel_purchase,41022,157449,78.96411765,5369.56,16363.82,Ongoing,426,68,10647
2022-10-10,2025-11-10,"FB - IG - Purchase - Ankara - Guzellik",inactive,100,Daily,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,9081,16547,195.955,391.91,284.15,Ongoing,21,2,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Ankara - Guzellik",not_delivering,100,Daily,"7-day click or 1-day view",7,actions:offsite_conversion.fb_pixel_purchase,20868,34318,125.2,876.4,5617.92,Ongoing,48,7,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Antalya - Guzellik",not_delivering,100,Daily,"7-day click or 1-day view",13,actions:offsite_conversion.fb_pixel_purchase,11717,27367,67.39307692,876.11,3507.03,Ongoing,87,13,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Istanbul - Otel",not_delivering,1050,Lifetime,"7-day click or 1-day view",10,actions:offsite_conversion.fb_pixel_purchase,17403,42955,104.994,1049.94,11779.5,2023-09-24,94,10,0
2022-10-10,2025-11-10,GRP_Antalya_Masaj_Kategori,archived,37.5,Daily,-,,,0,0,,0,,2023-09-27,,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Istanbul",not_delivering,55,Daily,"7-day click or 1-day view",24,actions:offsite_conversion.fb_pixel_purchase,11873,33979,69.3175,1663.62,18050,Ongoing,144,24,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Istanbul - Kahvalti",inactive,50,Daily,"7-day click or 1-day view",93,actions:offsite_conversion.fb_pixel_purchase,45694,161196,63.19892473,5877.5,89882.64,Ongoing,450,93,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Ankara - Kahvalti",inactive,30,Daily,"7-day click or 1-day view",3,actions:offsite_conversion.fb_pixel_purchase,7972,15527,157.11333333,471.34,2059,Ongoing,69,3,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Izmir - Kahvalti",inactive,30,Daily,"7-day click or 1-day view",,,6192,15409,,472.82,,Ongoing,74,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Istanbul - Guzellik",inactive,200,Daily,"7-day click or 1-day view",258,actions:offsite_conversion.fb_pixel_purchase,111088,281738,36.69965116,9468.51,135858.44,Ongoing,604,258,18321
2022-10-10,2025-11-10,"FB - IG - Purchase - İzmir- Güzellik",not_delivering,100,Daily,"7-day click or 1-day view",15,actions:offsite_conversion.fb_pixel_purchase,9554,17920,19.366,290.49,1736.75,Ongoing,69,15,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Antalya - Güzellik",inactive,50,Daily,"7-day click or 1-day view",2,actions:offsite_conversion.fb_pixel_purchase,6183,11183,72.79,145.58,309,Ongoing,40,2,0
2022-10-10,2025-11-10,"FB - IG - Purchase - İstanbul - Etkinlik",not_delivering,100,Daily,"7-day click or 1-day view",359,actions:offsite_conversion.fb_pixel_purchase,148526,447072,41.26169916,14812.95,191729.45,Ongoing,2045,359,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Ankara - Etkinlik",archived,400,Lifetime,-,,,0,0,,0,,1970-01-01,,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Ankara - Etkinlik",inactive,2000,Lifetime,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,1478,1844,36,36,598,2022-11-19,22,1,0
2022-10-10,2025-11-10,"FB - IG - Purchase - İstanbul - SPA & Masaj",inactive,20,Daily,"7-day click or 1-day view",124,actions:offsite_conversion.fb_pixel_purchase,47986,118108,31.18758065,3867.26,59140.75,Ongoing,1326,124,0
2022-10-10,2025-11-10,"FB - IG - Traffic - İstanbul - Etkinlik - İndirim",inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - İstanbul - İftar Menüleri",inactive,"Using ad set budget",0,"7-day click or 1-day view",19992,actions:link_click,402226,1183060,0.64892707,12973.35,13477,Ongoing,19992,14,0
2022-10-10,2025-11-10,"FB - IG - Purchase - İstanbul - İftar Fırsat",not_delivering,"Using ad set budget",0,"7-day click or 1-day view",9546,actions:link_click,216047,503289,0.51733291,4938.46,498,Ongoing,9546,1,0
2022-10-10,2025-11-10,"IG - Post Promote - Çekiliş - Plastik Aşklar",inactive,50,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Izmir - Etkinlik",not_delivering,50,Daily,"7-day click or 1-day view",174,actions:offsite_conversion.fb_pixel_purchase,83280,358855,56.59804598,9848.06,41996.78,Ongoing,2278,174,0
2022-10-10,2025-11-10,"FB - IG - Purchase - İstanbul - Festivali - Biletleri",not_delivering,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"FB - IG - Traffic - Izmir - SPA & Masaj",inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,GRP_Istanbul_Guzellik_Kategori,inactive,100,Daily,"7-day click or 1-day view",486,actions:offsite_conversion.fb_pixel_purchase,145635,545023,50.4926749,24539.44,531857.04,Ongoing,1206,486,24556
2022-10-10,2025-11-10,GRP_Izmir_Guzellik_Kategori,inactive,100,Daily,"7-day click or 1-day view",1489,actions:offsite_conversion.fb_pixel_purchase,193600,1236064,27.44385494,40863.9,291425.04,Ongoing,6130,1489,45881
2022-10-10,2025-11-10,GRP_Ankara_Guzellik_Kategori,inactive,20,Daily,"7-day click or 1-day view",109,actions:offsite_conversion.fb_pixel_purchase,63249,236102,56.32440367,6139.36,32495.25,Ongoing,953,109,0
2022-10-10,2025-11-10,GRP_Antalya_Guzellik_Kategori,inactive,20,Daily,"7-day click or 1-day view",224,actions:offsite_conversion.fb_pixel_purchase,65353,358386,38.68580357,8665.62,58620.96,Ongoing,2222,224,0
2022-10-10,2025-11-10,GRP_Istanbul_Masaj_Kategori,not_delivering,100,Daily,"7-day click or 1-day view",429,actions:offsite_conversion.fb_pixel_purchase,210823,585651,43.99475524,18873.75,260635.7,Ongoing,4791,429,0
2022-10-10,2025-11-10,"FB - IG Post Promote",not_delivering,1000,Daily,"7-day click or 1-day view",49165,actions:post_engagement,319899,705676,0.33279569,16361.9,4770.58,Ongoing,6156,11,0
2022-10-10,2025-11-10,GRP_Istanbul_Etkinlik_Kategori,inactive,20,Daily,"7-day click or 1-day view",151,actions:offsite_conversion.fb_pixel_purchase,110012,243992,28.46092715,4297.6,46190.51,Ongoing,4071,151,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Ankara - Etkinlik",not_delivering,50,Daily,"7-day click or 1-day view",141,actions:offsite_conversion.fb_pixel_purchase,143567,499525,68.07170213,9598.11,60990.95,Ongoing,5300,141,0
2022-10-10,2025-11-10,GRP_Inactive_Buyer,inactive,250,Daily,"7-day click or 1-day view",476,actions:offsite_conversion.fb_pixel_purchase,139769,1264875,51.82991597,24671.04,194773.85,Ongoing,7293,476,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Bursa - Etkinlik",not_delivering,40,Daily,"7-day click or 1-day view",7,actions:offsite_conversion.fb_pixel_purchase,8766,16951,86.76,607.32,3570.3,Ongoing,50,7,0
2022-10-10,2025-11-10,GRP_Subscriber,not_delivering,100,Daily,"7-day click or 1-day view",23,actions:offsite_conversion.fb_pixel_purchase,8343,16163,15.59173913,358.61,5080.9,Ongoing,175,23,0
2022-10-10,2025-11-10,"Hype - FB - IG - Erişim 26 Kasım 2019 - Black Friday",inactive,150,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - 26 Kasım 2019 - Efsane Cuma - İstanbul",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - 26 Kasım 2019 - Efsane Cuma - Ankara",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - 26 Kasım 2019 - Efsane Cuma - İzmir",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - 26 Kasım 2019 - Efsane Cuma - Bursa",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - 26 Kasım 2019 - Efsane Cuma - Antalya",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 28 Kasım 2019 - Harika Cuma",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG -  Efsane Cuma - Ankara - Travel",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Efsane Cuma - İzmir - Travel",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Efsane Cuma - Bursa - Travel",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Efsane Cuma - Antalya -  Travel",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Efsane Cuma - İstanbul - Travel",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Kamil Koç - İstanbul - Travel",inactive,150,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 05 Aralık 2019 - Blog",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 11 Aralık 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Yılbaşı İndirim Kodu - Yılbaşı",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 18 Aralık 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Yılbaşı İndirim Uzatılması - Post Promete",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Yılbaşı İndirim Post Promote",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Robotlar - Converison",inactive,200,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Post Promote - D-smart",inactive,50,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Post Promote - Türken Dijital",inactive,50,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Link Click - Harem Kabare - Copy",archived,"Using ad set budget",0,-,,,0,0,,0,,1970-01-01,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Post Promote - Tiyatro",archived,100,Daily,-,,,0,0,,0,,1970-01-01,,,0
2022-10-10,2025-11-10,"FB - IG - Purchase - Ankara - Güzellik",inactive,100,Daily,"7-day click or 1-day view",4,actions:offsite_conversion.fb_pixel_purchase,13817,23596,72.7925,291.17,1050.74,Ongoing,47,4,0
2022-10-10,2025-11-10,"Hype - IG - Post Promote 05 Eylül 2019 - Çekiliş",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB/IG Post Engagement 6 Eylül 2019 Hafta Sonu Postu - Turkey",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - Erişim - 12 Eylül 2019 - Büyük Gözaltı",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - Erişim - 13 Eylül 2019 - Portofino Solarium Reklam",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Post Promote 16 Eylül 2019 - Çekiliş - Kahvaltı",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB/IG Post Engagement 17 Eylül 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB/IG Post Engagement 19 Eylül 2019 - İlyas Yalçıntaş Konse",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 19 Eylül 2019 - Story",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB/IG Purchase 20 Eylül 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB/IG Post Engagement 20 Eylül 2019",inactive,150,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB/IG Post Engagement 24 Eylül 2019",inactive,150,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 27 Eylül 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 01 Ekim 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 08 Ekim 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 10 Ekim 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim Çekiliş - Story",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - IG - Story - Çekiliş",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Post Engagement - 31 Ekim 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Post Engagement - 01 Kasım 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,Hype-Grupanya-IOS-App-Download,inactive,1200,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,Hype-Grupanya-11.11,inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 06 Kasım 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 19 Kasım 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 20 Kasım 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 21 Kasım 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  27 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  28 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  29 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  30 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim 17 Haziran 2019 - Çekiliş - Tortuga Aqua Park",inactive,105,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim 26 Haziran 2019 - Çekiliş - Şile-Ağva Polonezköy",inactive,105,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim 27 Haziran 2019 - Emel Sayın Konseri",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 03 Temmuz 2019 - Pırıl Pırıl Otel",inactive,105,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 04 Temmuz 2019 - Kahvaltı Çekiliş",inactive,105,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 10 Temmuz 2019 - Chakra Beach Kabak",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,Hype_FB_IG_Katalog,inactive,50,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim 13 Temmuz 2019 - Havuz - Beach Çekiliş",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 18 Temmuz 2019 - Cansu Bungolov Hotel",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim 19 Temmuz 2019 -Tur Çekiliş",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 18 Temmuz 2019 - A11 Hotel - Haftanın Yıldızı",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim 02 Ağustos 2019 - Çekiliş",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 07 Ağustos 2019 Kaya Artemis Otel - Grupanya Tatil Hesabı",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 07 Ağustos 2019 Kaya Artemis Otel - Grupanya Hesabı",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype -FB - IG - Erişim 27 Temmuz 2019 - Coctail Fest",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim 26 Ağustos 2019 - Çekiliş",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB - Erişim 26 Ağustos 2019 - Çekiliş",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB/IG Post Engagement 2 Eylül 2019 Göze Sarıyer",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB/IG Post Engagement 4 Eylül 2019 Piyale",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB/IG Post Engagement 4 Eylül 2019 Divan İstanbul_grupanyatatil",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB/IG Post Engagement 4 Eylül 2019 Divan İstanbul_grupanyaig",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim  07 Mayıs 2019 - İstanbul",inactive,25,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim  07 Mayıs 2019 - Ankara",inactive,25,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim  07 Mayıs 2019 - Bursa",inactive,25,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim  08 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim  09 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  10 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim  10 Mayıs 2019 - İzmir",inactive,25,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  11 Mayıs 2019 - Bursa",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG FB- Purchase - İstanbul - İftar - Genel",inactive,200,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG FB - Purchase - Bursa - İftar - Genel",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG FB - Purchase - Ankara - İftar - Genel -",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG FB - Purchase - İzmir - İftar - Genel",inactive,150,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  13 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  14 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  15 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  16 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  17 Mayıs 2019 - Çekiliş",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  20 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB IG - Post Promote -  20 Mayıs - IDA -",inactive,30,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - FB IG - Reach -  20 Mayıs - IDA -",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  21 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  22 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Erişim  22 Mayıs 2019 - Ataköşk - Çekiliş",inactive,70,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  23 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG&FB - Erişim  24 Mayıs 2019",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,mobil-app-inaktif-nisan,inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,mobil-app-inaktif-mayis,inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,ank-pasa-rest-kahvalti,inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,instagram-mobil-download-lookalike-audience,inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,instagram-mobil-download-22ekim,inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,mobil-download-kasim,inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,ist-kategoriler,inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,mobil-download-agustos,inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,Kıbrıs-Fırsatları,inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,Hype_Kıbrıs_Fırsatları_Genel_Conversion_Call,inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,Hype_Kıbrıs_Fırsatları_Gala_Conversion_Call,inactive,55,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"post için",inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,deneme,inactive,"Using ad set budget",0,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype_Kıbrıs_Fırsatları_Gala_Reach_Call FB&IG",inactive,100,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Post Promote - 22 Şubat 2019",inactive,75,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Post Promote - 01 Mart 2019",inactive,75,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Post Promote - 02 Mart 2019",inactive,50,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Link Click - 14 Mart 2019",inactive,50,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Conversion Purchase - 14 Mart 2019",inactive,50,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Post Promote - Post Engagements -  15 Mart 2019 Çekiliş",inactive,25,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Post Promote - 22 Mart 2019",inactive,30,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Post Promote - Post Engagements -  29 Mart 2019 Çekiliş",inactive,25,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Post Promote - Post Engagements -  2 Nisan 2019 - Papa johns",inactive,35,Daily,-,,,0,0,,0,,Ongoing,,,0
2022-10-10,2025-11-10,"Hype - IG - Post Promote - Post Engagements -  4 Nisan 2019 - kahve festivali",inactive,50,Daily,-,,,0,0,,0,,Ongoing,,,0
